WRN 2026-04-30T20:40:26.394 ui.31753   tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-04-30T20:40:26.394 ui.31753   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-30T20:40:26.394 ui.31753   tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-04-30T20:40:26.394 ui.31753   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-30T20:40:26.394 ui.31753   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-30T20:46:57.018 ui.38489   tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-04-30T20:46:57.018 ui.38489   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-30T20:46:57.018 ui.38489   tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-04-30T20:46:57.018 ui.38489   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-30T20:46:57.018 ui.38489   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-30T20:48:33.454 ui.42103   tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-04-30T20:48:33.455 ui.42103   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-30T20:48:33.455 ui.42103   tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-04-30T20:48:33.455 ui.42103   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-30T20:48:33.455 ui.42103   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
